sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 0","Beach Road","0 Beach Road","Browns Bay","Auckland","$850,000","$850,000","Unknown","0","0.2567","",""
" 1/ 610","Beach Road","1/ 610 Beach Road","Browns Bay","Auckland","$800,000","$530,000","1940-1949","120","0","$580,000","27 Mar 2014"
" 2/ 610","Beach Road","2/ 610 Beach Road","Browns Bay","Auckland","$830,000","$560,000","1990-1999","210","0","$375,000","21 Feb 2005"
" 1/ 612","Beach Road","1/ 612 Beach Road","Browns Bay","Auckland","$760,000","$560,000","1970-1979","100","0","$530,000","28 Apr 2014"
" 2/ 612","Beach Road","2/ 612 Beach Road","Browns Bay","Auckland","$730,000","$560,000","1970-1979","100","0","$625,000","6 Aug 2015"
" 1/ 614","Beach Road","1/ 614 Beach Road","Browns Bay","Auckland","$900,000","$500,000","1950-1959","187","0","$898,000","13 Mar 2017"
" 2/ 614","Beach Road","2/ 614 Beach Road","Browns Bay","Auckland","$800,000","$560,000","1990-1999","125","0","$453,000","27 Jan 2011"
" 1/ 616","Beach Road","1/ 616 Beach Road","Browns Bay","Auckland","$800,000","$500,000","1970-1979","140","0","$285,000","18 Mar 2003"
" 2/ 616","Beach Road","2/ 616 Beach Road","Browns Bay","Auckland","$780,000","$560,000","1970-1979","110","0","$259,000","21 Jun 2002"
" 1/ 618","Beach Road","1/ 618 Beach Road","Browns Bay","Auckland","$860,000","$500,000","1940-1949","130","0","$720,000","25 Nov 2015"
" 2/ 618","Beach Road","2/ 618 Beach Road","Browns Bay","Auckland","$950,000","$560,000","1990-1999","160","0","$620,000","2 Sep 2012"
" 1/ 620-622","Beach Road","1/ 620-622 Beach Road","Browns Bay","Auckland","$990,000","$890,000","1950-1959","50","0","$200,000","1 Jan 1900"
" 2/ 620-622","Beach Road","2/ 620-622 Beach Road","Browns Bay","Auckland","$870,000","$560,000","1950-1959","140","0","$185,000","1 Jan 1900"
" 3/ 620-622","Beach Road","3/ 620-622 Beach Road","Browns Bay","Auckland","$910,000","$600,000","1990-1999","170","0","$471,000","24 Feb 2007"
" 624","Beach Road","624 Beach Road","Browns Bay","Auckland","$910,000","$580,000","2000-2009","140","0.038","$648,000","24 Oct 2014"
" 626","Beach Road","626 Beach Road","Browns Bay","Auckland","$940,000","$580,000","2000-2009","140","0.038","$645,000","9 Jun 2014"
" 626A","Beach Road","626A Beach Road","Browns Bay","Auckland","$950,000","$580,000","2000-2009","150","0.0384","$525,000","24 Mar 2009"
" 626B","Beach Road","626B Beach Road","Browns Bay","Auckland","$900,000","$580,000","2000-2009","150","0.038","$750,000","26 Jun 2015"
" 626C","Beach Road","626C Beach Road","Browns Bay","Auckland","$950,000","$580,000","2000-2009","150","0.038","",""
" 626D","Beach Road","626D Beach Road","Browns Bay","Auckland","$990,000","$580,000","2000-2009","150","0.038","$250,000","10 Jun 1998"
" 628","Beach Road","628 Beach Road","Browns Bay","Auckland","$1,090,000","$600,000","2000-2009","226","0.0473","$710,000","23 Jul 2014"
" 630","Beach Road","630 Beach Road","Browns Bay","Auckland","$1,020,000","$580,000","2000-2009","214","0.042","$780,000","11 Sep 2015"
