sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"115","Carlisle Road","115 Carlisle Road","Northcross","Auckland","$1,250,000","$830,000","1960-1969","249","0.1372","$223,000","1 Jul 1994"
"115A","Carlisle Road","115A Carlisle Road","Northcross","Auckland","$950,000","$600,000","2000-2009","222","0.04","$675,000","9 Nov 2012"
"115B","Carlisle Road","115B Carlisle Road","Northcross","Auckland","$1,000,000","$570,000","2000-2009","202","0.0381","$565,000","23 Jun 2009"
"115C","Carlisle Road","115C Carlisle Road","Northcross","Auckland","$980,000","$600,000","2000-2009","183","0.0471","$595,000","15 May 2011"
"117","Carlisle Road","117 Carlisle Road","Northcross","Auckland","$1,575,000","$920,000","2010-2019","620","0.1193","$356,500","1 Oct 1996"
"117A","Carlisle Road","117A Carlisle Road","Northcross","Auckland","$110,000","$110,000","Unknown","0","0.0216","",""
"1/ 119","Carlisle Road","1/ 119 Carlisle Road","Northcross","Auckland","$950,000","$700,000","1950-1959","150","0","$675,000","13 Sep 2013"
"2/ 119","Carlisle Road","2/ 119 Carlisle Road","Northcross","Auckland","$1,325,000","$700,000","1990-1999","265","0","$1,375,000","9 Dec 2016"
"121","Carlisle Road","121 Carlisle Road","Northcross","Auckland","$1,300,000","$800,000","1970-1979","201","0.087","$830,000","24 May 2012"
"1/ 123","Carlisle Road","1/ 123 Carlisle Road","Northcross","Auckland","$1,125,000","$700,000","1950-1959","150","0","$340,000","21 May 2003"
"2/ 123","Carlisle Road","2/ 123 Carlisle Road","Northcross","Auckland","$1,075,000","$700,000","1980-1989","247","0","$965,000","23 Sep 2015"
"1/ 125","Carlisle Road","1/ 125 Carlisle Road","Northcross","Auckland","$1,025,000","$700,000","2000-2009","228","0","$776,000","5 Dec 2013"
"2/ 125","Carlisle Road","2/ 125 Carlisle Road","Northcross","Auckland","$1,200,000","$680,000","2010-2019","213","0","$628,000","14 Aug 2011"
"129","Carlisle Road","129 Carlisle Road","Northcross","Auckland","$920,000","$740,000","1950-1959","110","0.0692","$225,000","1 Jan 1900"
"130","Carlisle Road","130 Carlisle Road","Northcross","Auckland","$900,000","$710,000","1960-1969","110","0.0888","$524,000","4 Dec 2012"
"1/ 131","Carlisle Road","1/ 131 Carlisle Road","Northcross","Auckland","$1,175,000","$700,000","1970-1979","210","0","$630,000","10 May 2012"
"2/ 131","Carlisle Road","2/ 131 Carlisle Road","Northcross","Auckland","$1,375,000","$700,000","2010-2019","207","0","$347,500","4 Dec 1998"
"132","Carlisle Road","132 Carlisle Road","Northcross","Auckland","$1,050,000","$680,000","1970-1979","140","0.0835","$885,000","6 Nov 2015"
"1/ 133","Carlisle Road","1/ 133 Carlisle Road","Northcross","Auckland","$980,000","$600,000","1960-1969","240","0","$435,000","26 Aug 2005"
