sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 18","Alcock Street","18 Alcock Street","Mount Wellington","Auckland City","$1,100,000","$840,000","1970-1979","190","0.0759","$590,000","21 Nov 2014"
" 2","Allen Road","2 Allen Road","Mount Wellington","Auckland City","$1,430,000","$740,000","1950-1959","230","0.0756","$1,000,000","2 Jul 2014"
" 3","Allen Road","3 Allen Road","Mount Wellington","Auckland City","$870,000","$740,000","1940-1949","80","0.0756","$170,000","7 Jul 1998"
" 5","Allen Road","5 Allen Road","Mount Wellington","Auckland City","$930,000","$740,000","1950-1959","103","0.0756","$500,000","23 Sep 2012"
" 6","Allen Road","6 Allen Road","Mount Wellington","Auckland City","$980,000","$740,000","1930-1939","156","0.0761","$299,000","21 Mar 2006"
" 9","Allen Road","9 Allen Road","Mount Wellington","Auckland City","$900,000","$660,000","1950-1959","125","0.0999","$205,000","1 Jan 1900"
" 10","Allen Road","10 Allen Road","Mount Wellington","Auckland City","$900,000","$690,000","1950-1959","110","0.0827","$960,000","9 Oct 2017"
" 11","Allen Road","11 Allen Road","Mount Wellington","Auckland City","$860,000","$710,000","1950-1959","80","0.0756","$336,500","15 May 2006"
" 13","Allen Road","13 Allen Road","Mount Wellington","Auckland City","$980,000","$740,000","1950-1959","198","0.0756","$93,000","23 Jul 1986"
" 14","Allen Road","14 Allen Road","Mount Wellington","Auckland City","$930,000","$740,000","1950-1959","97","0.0756","$424,000","30 Mar 2011"
" 72","Aranui Road","72 Aranui Road","Mount Wellington","Auckland City","$1,000,000","$690,000","1990-1999","192","0.0983","$148,000","1 Jan 1900"
" 74","Aranui Road","74 Aranui Road","Mount Wellington","Auckland City","$1,000,000","$770,000","1950-1959","157","0.0822","$820,000","16 Sep 2015"
" 82","Aranui Road","82 Aranui Road","Mount Wellington","Auckland City","$1,550,000","$690,000","2000-2009","443","0.0864","$102,000","11 Jul 1988"
" 88","Aranui Road","88 Aranui Road","Mount Wellington","Auckland City","$940,000","$780,000","1950-1959","122","0.0867","$100,000","15 May 1990"
