sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"1","Weatherly Road","1 Weatherly Road","Torbay","Auckland","$1,075,000","$670,000","1960-1969","143","0.0507","$534,000","4 Nov 2011"
"2","Weatherly Road","2 Weatherly Road","Torbay","Auckland","$1,125,000","$690,000","1960-1969","169","0.0746","$665,000","11 Aug 2012"
"3","Weatherly Road","3 Weatherly Road","Torbay","Auckland","$970,000","$670,000","1960-1969","120","0.0401","$716,500","25 Jun 2013"
"3A","Weatherly Road","3A Weatherly Road","Torbay","Auckland","$700,000","$700,000","Unknown","0","0.0502","",""
"4","Weatherly Road","4 Weatherly Road","Torbay","Auckland","$1,125,000","$800,000","1960-1969","160","0.0979","$320,000","16 Jan 2004"
"5","Weatherly Road","5 Weatherly Road","Torbay","Auckland","$1,125,000","$690,000","1960-1969","140","0.0966","$615,000","16 Nov 2011"
"6","Weatherly Road","6 Weatherly Road","Torbay","Auckland","$1,100,000","$640,000","1960-1969","167","0.0759","$636,000","29 Mar 2013"
"7","Weatherly Road","7 Weatherly Road","Torbay","Auckland","$980,000","$690,000","1960-1969","140","0.0986","$515,000","27 Jul 2012"
"8","Weatherly Road","8 Weatherly Road","Torbay","Auckland","$970,000","$600,000","1960-1969","130","0.0728","$420,000","13 Apr 2009"
"9","Weatherly Road","9 Weatherly Road","Torbay","Auckland","$970,000","$760,000","1960-1969","140","0.0607","$422,000","29 Jun 2006"
"10","Weatherly Road","10 Weatherly Road","Torbay","Auckland","$970,000","$600,000","1960-1969","200","0.067","$942,000","3 Mar 2016"
"11","Weatherly Road","11 Weatherly Road","Torbay","Auckland","$1,025,000","$690,000","1960-1969","150","0.067","$245,000","29 Nov 1998"
"12","Weatherly Road","12 Weatherly Road","Torbay","Auckland","$970,000","$640,000","1960-1969","140","0.0726","$480,000","22 Jun 2009"
"13","Weatherly Road","13 Weatherly Road","Torbay","Auckland","$1,025,000","$660,000","1960-1969","130","0.067","$937,000","17 May 2015"
"14","Weatherly Road","14 Weatherly Road","Torbay","Auckland","$970,000","$640,000","1960-1969","120","0.0726","$860,000","20 Aug 2017"
"1/ 15","Weatherly Road","1/ 15 Weatherly Road","Torbay","Auckland","$970,000","$550,000","1960-1969","120","0","$615,000","13 Apr 2013"
"2/ 15","Weatherly Road","2/ 15 Weatherly Road","Torbay","Auckland","$1,000,000","$530,000","1990-1999","190","0","$390,000","26 Sep 2003"
"16","Weatherly Road","16 Weatherly Road","Torbay","Auckland","$1,000,000","$570,000","1970-1979","120","0.067","$230,500","27 Aug 1998"
"17","Weatherly Road","17 Weatherly Road","Torbay","Auckland","$1,025,000","$780,000","1960-1969","130","0.1027","$170,000","15 Apr 1994"
"18","Weatherly Road","18 Weatherly Road","Torbay","Auckland","$980,000","$570,000","1970-1979","100","0.067","$425,000","5 Apr 2006"
"19","Weatherly Road","19 Weatherly Road","Torbay","Auckland","$980,000","$640,000","1960-1969","130","0.067","$245,000","1 Jan 1900"
"20","Weatherly Road","20 Weatherly Road","Torbay","Auckland","$970,000","$570,000","1970-1979","80","0.067","$910,000","4 Jul 2015"
"21","Weatherly Road","21 Weatherly Road","Torbay","Auckland","$980,000","$620,000","1960-1969","180","0.067","$245,000","26 May 1999"
"1/ 22","Weatherly Road","1/ 22 Weatherly Road","Torbay","Auckland","$715,000","$500,000","1970-1979","80","0","$449,000","3 Apr 2013"
"2/ 22","Weatherly Road","2/ 22 Weatherly Road","Torbay","Auckland","$715,000","$500,000","1970-1979","80","0","$185,500","25 Apr 2002"
"23","Weatherly Road","23 Weatherly Road","Torbay","Auckland","$1,100,000","$710,000","Mixed/Remod","137","0.0974","$465,000","3 Oct 2005"
"24","Weatherly Road","24 Weatherly Road","Torbay","Auckland","$1,075,000","$570,000","1970-1979","150","0.067","$240,000","1 Jan 1900"
"25","Weatherly Road","25 Weatherly Road","Torbay","Auckland","$1,025,000","$800,000","1970-1979","100","0.105","$1,060,000","6 Jul 2016"
"26","Weatherly Road","26 Weatherly Road","Torbay","Auckland","$900,000","$570,000","1970-1979","100","0.067","$921,000","10 Feb 2018"
"27","Weatherly Road","27 Weatherly Road","Torbay","Auckland","$980,000","$620,000","1970-1979","160","0.067","$220,000","1 Jan 1900"
"28","Weatherly Road","28 Weatherly Road","Torbay","Auckland","$1,100,000","$570,000","1970-1979","144","0.0739","$535,000","3 Apr 2009"
"29","Weatherly Road","29 Weatherly Road","Torbay","Auckland","$820,000","$620,000","1970-1979","130","0.067","$821,000","13 May 2017"
"30","Weatherly Road","30 Weatherly Road","Torbay","Auckland","$1,050,000","$570,000","1970-1979","158","0.0688","$930,000","31 May 2015"
"31","Weatherly Road","31 Weatherly Road","Torbay","Auckland","$1,025,000","$800,000","1970-1979","120","0.1234","$1,190,000","6 Jul 2016"
"32","Weatherly Road","32 Weatherly Road","Torbay","Auckland","$910,000","$560,000","1970-1979","90","0.062","$212,000","11 Apr 2000"
"33","Weatherly Road","33 Weatherly Road","Torbay","Auckland","$1,000,000","$620,000","1970-1979","160","0.067","$235,000","14 Sep 1998"
"34","Weatherly Road","34 Weatherly Road","Torbay","Auckland","$910,000","$740,000","1970-1979","90","0.1558","$500,000","23 Sep 2011"
"35","Weatherly Road","35 Weatherly Road","Torbay","Auckland","$980,000","$600,000","1970-1979","120","0.067","$470,000","20 Aug 2010"
"36","Weatherly Road","36 Weatherly Road","Torbay","Auckland","$930,000","$560,000","1970-1979","100","0.0688","$625,000","30 Oct 2012"
"37","Weatherly Road","37 Weatherly Road","Torbay","Auckland","$1,100,000","$760,000","1970-1979","160","0.109","$1,115,000","2 Mar 2017"
"38","Weatherly Road","38 Weatherly Road","Torbay","Auckland","$840,000","$530,000","1970-1979","150","0.076","$848,000","31 May 2016"
"39","Weatherly Road","39 Weatherly Road","Torbay","Auckland","$1,025,000","$650,000","1970-1979","150","0.0908","$260,000","13 Nov 2017"
"40A","Weatherly Road","40A Weatherly Road","Torbay","Auckland","$830,000","$530,000","1970-1979","130","0.0587","$650,000","24 Oct 2014"
"40B","Weatherly Road","40B Weatherly Road","Torbay","Auckland","$810,000","$500,000","2000-2009","118","0.06","$820,000","28 Apr 2017"
"40C","Weatherly Road","40C Weatherly Road","Torbay","Auckland","$910,000","$500,000","2000-2009","162","0.06","$85,000","2 Mar 2000"
"40E","Weatherly Road","40E Weatherly Road","Torbay","Auckland","$920,000","$500,000","2000-2009","149","0.06","$474,000","22 Mar 2012"
"40F","Weatherly Road","40F Weatherly Road","Torbay","Auckland","$820,000","$500,000","2000-2009","119","0.0682","$425,000","29 May 2007"
